plz,qkm,einwohner
010,74.02,80287
011,121.24,182357
012,51.24,157358
013,69.85,88723
014,269.65,90009
015,578.9,73129
016,750.76,125455
017,860.59,158677
018,967.72,120370
019,1354.02,151075
026,702.47,100196
027,676.61,129960
028,377.45,75459
029,1720.48,139746
030,532.58,124112
031,1351.48,101153
032,1230.3,79688
041,97.58,184397
042,111.09,190005
043,89.39,128833
044,309.11,91793
045,723.17,109019
046,1298.4,185953
047,888.72,106774
048,1609.88,143540
049,1078.43,60316
061,744.88,299853
062,966.52,146234
063,921.12,116561
064,1269.61,155728
065,1324.98,117147
066,1072.47,138250
067,1095.96,152252
068,1000.54,168490
069,979.56,41608
073,919.37,92675
074,434.82,49898
075,549.43,141288
076,509.83,56847
077,419.77,133980
078,203.74,17354
079,1000.21,97347
080,101.55,93246
081,296.93,62131
082,614.55,133307
083,609.84,127654
084,349.76,96265
085,375.01,81480
086,330.6,29336
091,177.16,225524
092,271.99,86565
093,611.22,144292
094,729.81,126039
095,612.12,114248
096,942.67,106453
101,10.8,79724
102,10.36,114821
103,26.23,153334
104,10.43,139757
105,12.67,109113
106,3.16,38767
107,14.57,143512
108,4.69,44965
109,12.21,141200
120,17.01,157942
121,25.46,198303
122,30.49,140740
123,44.36,199936
124,34.48,99517
125,215.16,152515
126,62.04,243939
130,42.13,153256
131,76.23,158662
133,14.17,147289
134,48.47,180894
135,106.08,247416
136,10.88,28956
140,43.13,82116
141,98.95,148677
144,188.63,155931
145,679.91,134023
146,903.09,105582
147,1847.75,150723
148,953.22,31047
149,1458.45,96756
152,426.09,74558
153,1569.45,149263
155,833.97,102857
157,691.37,98602
158,1925.51,136484
159,1641.07,53579
162,1869.57,112869
163,1150.32,147297
165,432.25,103226
167,1378.51,98355
168,2136.7,85257
169,1409.69,43987
170,1238.84,108091
171,2771.36,115624
172,3978.58,136056
173,2881.29,110945
174,930.14,118769
175,263.33,12676
180,120.3,100057
181,752.52,157157
182,2062.8,132874
183,915.93,52678
184,636.07,81798
185,1589.78,86970
186,23.86,5206
190,1024.28,141739
192,2568.22,113931
193,3030.19,129493
194,495.61,18158
200,4.32,13912
201,4.31,34166
202,6.2,88280
203,4.98,35073
204,15.5,9713
205,16.87,55746
210,223.32,223600
211,130.97,108569
212,737.35,143157
213,976.93,159242
214,713.63,153249
215,355.17,73967
216,573.33,154191
217,1383.68,108524
220,27.5,171653
221,112.17,286749
222,5.88,29662
223,103.05,230461
224,41.82,114814
225,69.96,180078
226,15.19,38438
227,12.57,105141
228,165.15,141547
229,343.43,106367
235,210.94,209583
236,397.6,92726
237,1234.55,146329
238,1174.71,135870
239,1496.2,141777
241,175.11,266676
242,883.36,128537
243,1045.44,102134
244,99.17,5308
245,554.24,182317
246,782.44,62340
247,362.32,73111
248,1273.62,107301
249,854.86,166653
253,452.61,109367
254,379.72,175442
255,1002.59,119029
256,53.82,4690
257,1310.89,117080
258,1467.76,110046
259,672.84,56393
261,893.02,262082
262,428.48,52424
263,478.69,127756
264,962.01,106267
265,503.46,75700
266,1239.94,168572
267,419.29,108810
268,1221.54,171681
269,874.63,87160
272,1182.5,112598
273,1773.42,147107
274,1455.11,144350
275,79.16,108055
276,1180.26,102719
277,810.45,204865
278,223.42,20275
281,42.14,44002
282,91.05,260345
283,112.65,141811
287,204.56,116153
288,628.97,168937
292,182.01,69081
293,2196.1,147138
294,1804.33,80378
295,1375.48,88867
296,1789.55,133423
301,39.57,177701
304,56.45,156264
305,52.42,72785
306,56.43,99875
308,287.72,182229
309,674.33,186527
310,585.24,76623
311,791.8,219163
312,495.34,134415
313,354.22,71888
315,969.97,173044
316,1064.25,118315
317,369.9,106423
318,837.86,120643
320,79.11,65358
321,205.34,107554
322,129.25,71565
323,521.17,92964
324,520.96,158223
325,124.23,88538
326,625.02,127405
327,205.24,108782
328,366.58,65002
330,374.56,65767
331,1315.71,280296
333,308.98,169534
334,288.87,72830
336,190.37,267363
337,291.31,128378
338,217.33,73038
341,108.02,190795
342,560.21,168745
343,1165.94,138796
344,1245.27,134057
345,1236.64,118431
346,519.52,50680
350,754.6,159143
351,510.8,35132
352,660.38,98052
353,552.84,121509
354,595.63,153059
355,228.65,84670
356,510.12,114997
357,758,131027
360,253.77,96378
361,1485.5,157090
362,1021.86,101694
363,1270.6,104476
364,696.44,78108
370,116.93,115865
371,1412.35,170733
372,911.65,94610
373,942.95,102407
374,508.61,54482
375,873.13,91654
376,906.35,113753
381,847.98,335282
382,372.53,122595
383,667.41,129502
384,1126.47,170391
385,570.07,111210
386,397.55,98287
387,482.04,40272
388,1378.28,150045
391,659.99,280898
392,1775.44,136232
393,2329.64,155997
394,405.32,51632
395,1476.05,87961
396,2373.84,79742
402,42.68,225520
404,78.71,146516
405,55.52,156421
406,129.69,155945
407,92.55,151457
408,130.24,125047
410,49.78,116655
411,89.56,62451
412,31.29,76195
413,387.43,145242
414,99.49,150586
415,285.3,178411
417,91.11,75005
418,305.15,126836
421,42.96,121105
422,41.58,124390
423,84.74,97425
424,136.96,59025
425,102.71,106952
426,80.6,131140
427,70.25,81413
428,73.99,110517
429,74.85,35018
441,50.59,171274
442,90.23,163606
443,139.87,236489
445,110.88,160856
446,51.49,155039
447,49.74,116474
448,95.86,246099
451,65.56,233299
452,84.24,131871
